year,usd_per_gb,status,source
1990,9000,verified,"Komorowski table, Sep 1990 (mkomo.com/cost-per-gigabyte, retr. 2026-07-13; underlying: ns1758.ca winchest listings)"
1992,4000,verified,"Komorowski table, Sep 1992"
1994,950,verified,"Komorowski table, Sep 1994"
1995,850,verified,"Komorowski table, Jan 1995 (Seagate 1GB @ $849)"
1997,95,verified,"Komorowski table, Nov-Dec 1997 cluster (~$85-104)"
2000,10,verified,"Komorowski table, Aug-Dec 2000 cluster (~$7-12)"
2002,2.6,verified,"Komorowski table, Aug-Sep 2002 cluster"
2004,0.71,verified,"Komorowski table, Dec 2004 (400GB Barracuda @ $280)"
2007,0.4,verified,"Komorowski table, Jun 2007 (Seagate 250GB @ $100)"
2009,0.114,verified,"Backblaze avg purchase cost 2009 (backblaze.com/blog/hard-drive-cost-per-gigabyte, retr. 2026-07-13); Komorowski Jul 2009 street = $0.075 — bulk-vs-street basis noted"
2017,0.033,verified,"Backblaze, end 2017"
2022,0.0144,verified,"Backblaze, Nov 2022"
2025,0.010,cross_checked,"24TB street ~$239 pre-surge (Tom's Hardware price tracking, retr. 2026-07-13) = $0.00996/GB, confirming Backblaze's $0.01 mid-2025 projection. NOTE: HDD prices surged ~50% from Sep 2025 on AI datacenter demand (24TB BarraCuda $239->$499); calendar-2025 uses pre-surge street; 2026 will likely show storage INFLATION"
